"Entry.Id","Created.By","Date.Updated","Updated.By","Last.Page.Accessed","Completion.Status","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply.","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..1","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..2","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..3","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..4","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..5","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..6","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..7","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..8","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..9","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..10","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..11","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..12","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..13","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..14","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..15","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..16","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..17","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..18","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..19","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..20","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..21","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..22","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..23","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..24","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..25","When.would.you.be.free.to.meet.for.regular.meetings..Choose.all.that.apply..26","R","Python","SQL","Are.you.interested.serving.as.a.dedicated..mentor..or.advisor.for.people.learning.how.to.code.in.R.Python.SQL.","Which.of.the.following.motivated.you.most.to.join.the.club.","Are.you.interested.in.being.a.part.of.the.club.s.Executive.Committee.","Please.briefly.describe.what.role.you.d.be.interested.in.playing.in.the.Executive.Committee.and.what.experience.skills.you.would.bring.to.the.role..Please.limit.yourself.to.150.words."
19,"public",NA,NA,1,1,"","Tuesdays 14:00 - 15:00","","","","","","","Thursdays 18:00 - 19:00","Thursdays 19:00 - 20:00","","","","","","Saturdays 10:00 - 11:00","","","","","","","","","","","","Some experience","No experience","No experience","No","Interest in technology and technology policy","No",""
18,"public",NA,NA,1,1,"","","","","","","","","","","","","","","","","","","Saturdays 16:00 - 17:00","","","","","","","","","No experience","No experience","Some experience","Yes","Learning to code","Yes","Although I have no substantial knowledge of coding, I am strongly interested in learning with a motivated peer group so as to further the field of quantitative research in social sciences. I have a long experience in organisational work as well as in community building activities, both of which are essential for any club. As an EC member, I would be able to bring to the team a better understanding of the requirements and perspective of those who are new to the field."
17,"public",NA,NA,1,1,"","","","","","","","","","","","","","","","Saturdays 10:00 - 11:00","Saturdays 11:00 - 12:00","Saturdays 15:00 - 16:00","Saturdays 16:00 - 17:00","Sundays 10:00 - 11:00","Sundays 11:00 - 12:00","Sundays 15:00 - 16:00","Sundays 16:00 - 17:00","Sundays 17:00 - 18:00","Sundays 18:00 - 19:00","Sundays 19:00 - 20:00","Sundays 20:00 - 21:00","Some experience","Some experience","Some experience","No","Learning to code","Maybe","/"
16,"public",NA,NA,1,1,"Tuesdays 13:00 - 14:00","Tuesdays 14:00 - 15:00","Tuesdays 15:00 - 16:00","Tuesdays 16:00 - 17:00","Tuesdays 17:00 - 18:00","Tuesdays 18:00 - 19:00","Tuesdays 19:00 - 20:00","Tuesdays 20:00 - 21:00","","Thursdays 19:00 - 20:00","Thursdays 20:00 - 21:00","Fridays 13:00 - 14:00","Fridays 14:00 - 15:00","Fridays 15:00 - 16:00","Fridays 16:00 - 17:00","Saturdays 10:00 - 11:00","Saturdays 11:00 - 12:00","Saturdays 15:00 - 16:00","Saturdays 16:00 - 17:00","Sundays 10:00 - 11:00","Sundays 11:00 - 12:00","Sundays 15:00 - 16:00","Sundays 16:00 - 17:00","Sundays 17:00 - 18:00","Sundays 18:00 - 19:00","Sundays 19:00 - 20:00","Sundays 20:00 - 21:00","Some experience","Some experience","No experience","No","Interest in technology and technology policy","Maybe","Would be interested in helping with outreach to tech companies and other stakeholders in the tech policy space (e.g. think tanks, international organizations, etc.). From my past experience as Assistant Director at the Atlantic Council's Cyber Statecraft Initiative, I have ample event planning and outreach skills and am comfortable representing the organization professionally to external parties. 

With that said, I'm not the most familiar with the tech network in Beijing specifically, and whether I'm the right fit would depend on what exactly events/outreach was in the cards. My strongest interest is in driving professional development of members through field trips and individual speakers focusing on career paths, and less so panel events or other substantive discussion. Happy to chat in person if me being involved makes sense!"
15,"public",NA,NA,1,1,"Tuesdays 13:00 - 14:00","Tuesdays 14:00 - 15:00","Tuesdays 15:00 - 16:00","Tuesdays 16:00 - 17:00","Tuesdays 17:00 - 18:00","Tuesdays 18:00 - 19:00","Tuesdays 19:00 - 20:00","Tuesdays 20:00 - 21:00","","","","Fridays 13:00 - 14:00","Fridays 14:00 - 15:00","Fridays 15:00 - 16:00","Fridays 16:00 - 17:00","","","","","","Sundays 11:00 - 12:00","Sundays 15:00 - 16:00","Sundays 16:00 - 17:00","Sundays 17:00 - 18:00","Sundays 18:00 - 19:00","Sundays 19:00 - 20:00","Sundays 20:00 - 21:00","Advanced","Intermediate","Intermediate","Yes","Learning to code","Yes","I'd like to be an R mentor! Also be interested in doing some outreach, but prefer helping out with R questions to being the main point person."
14,"public",NA,NA,1,1,"Tuesdays 13:00 - 14:00","Tuesdays 14:00 - 15:00","Tuesdays 15:00 - 16:00","Tuesdays 16:00 - 17:00","Tuesdays 17:00 - 18:00","Tuesdays 18:00 - 19:00","Tuesdays 19:00 - 20:00","Tuesdays 20:00 - 21:00","","","","Fridays 13:00 - 14:00","Fridays 14:00 - 15:00","Fridays 15:00 - 16:00","Fridays 16:00 - 17:00","","","","","","","","","","","","","Some experience","No experience","No experience","Yes","Learning to code","No",""
13,"public",NA,NA,1,1,"","","","","","","","","","Thursdays 19:00 - 20:00","Thursdays 20:00 - 21:00","Fridays 13:00 - 14:00","Fridays 14:00 - 15:00","","","","","Saturdays 15:00 - 16:00","","","","","","","","Sundays 19:00 - 20:00","Sundays 20:00 - 21:00","Some experience","Some experience","No experience","No","Learning to code","No",""
12,"public",NA,NA,1,1,"Tuesdays 13:00 - 14:00","Tuesdays 14:00 - 15:00","Tuesdays 15:00 - 16:00","Tuesdays 16:00 - 17:00","Tuesdays 17:00 - 18:00","Tuesdays 18:00 - 19:00","Tuesdays 19:00 - 20:00","Tuesdays 20:00 - 21:00","","Thursdays 19:00 - 20:00","Thursdays 20:00 - 21:00","","","","","","","","","","","","","","","","","Intermediate","No experience","No experience","Yes","Learning to code","Yes","I’m happy to help organize things! As for some kind of presentation, I would be willing to do something regarding text mining if I can get someone like Chris to join as well"
11,"public",NA,NA,1,1,"Tuesdays 13:00 - 14:00","Tuesdays 14:00 - 15:00","Tuesdays 15:00 - 16:00","Tuesdays 16:00 - 17:00","","","","","","","","Fridays 13:00 - 14:00","Fridays 14:00 - 15:00","Fridays 15:00 - 16:00","","","Saturdays 11:00 - 12:00","Saturdays 15:00 - 16:00","Saturdays 16:00 - 17:00","","","Sundays 15:00 - 16:00","Sundays 16:00 - 17:00","Sundays 17:00 - 18:00","","","","No experience","No experience","No experience","No","Learning to code","No",""
10,"public",NA,NA,1,1,"","","","","","","","","","","","","","","","","","","Saturdays 16:00 - 17:00","","","","Sundays 16:00 - 17:00","Sundays 17:00 - 18:00","Sundays 18:00 - 19:00","Sundays 19:00 - 20:00","Sundays 20:00 - 21:00","No experience","No experience","No experience","No","Learning to code","No",""
